,gp,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,target_5yrs,points_per_minute,total_contribution
214,82,0.5,1.6,30.1,0.0,0.2,7.1,0.7,0.9,78.1,0.3,0.8,1,0.17894736842105263,4.699999999999999
215,53,0.8,2.3,36.6,0.2,0.6,29.4,0.3,0.4,60.9,0.1,0.4,0,0.23404255319148937,4.5
216,47,1.0,2.6,40.2,0.0,0.1,16.7,0.7,0.9,83.3,0.3,0.6,0,0.30851063829787234,5.5
217,36,1.4,3.5,40.8,0.3,0.7,38.5,0.9,1.4,65.4,0.4,0.7,1,0.46590909090909083,5.599999999999998
218,62,1.0,1.9,51.3,0.0,0.0,0.0,0.6,1.0,65.0,0.9,1.5,1,0.3058823529411765,5.699999999999999
219,37,1.4,2.8,49.0,0.0,0.0,0.0,0.8,1.2,67.4,0.5,0.7,0,0.4216867469879518,5.5
220,60,1.4,2.8,49.4,0.0,0.0,0.0,0.4,0.7,50.0,0.8,1.7,1,0.3827160493827161,6.2
221,51,0.9,2.2,40.4,0.1,0.5,25.0,0.3,0.3,81.3,0.3,0.7,1,0.275,4.499999999999999
222,42,1.8,4.1,43.0,0.0,0.2,10.0,0.5,0.7,69.0,0.5,0.8,1,0.5063291139240506,5.699999999999999
223,33,1.5,3.1,48.0,0.0,0.3,10.0,0.8,1.0,82.4,0.5,0.6,1,0.48717948717948717,5.4
224,33,1.5,3.1,48.0,0.0,0.3,10.0,0.8,1.0,82.4,0.5,0.6,0,0.48717948717948717,5.4
225,57,1.0,2.6,36.9,0.1,0.2,30.8,1.3,2.0,63.8,1.0,1.2,1,0.32999999999999996,6.2
226,57,1.0,2.6,36.9,0.1,0.2,30.8,1.3,2.0,63.8,1.0,1.2,0,0.32999999999999996,6.2
227,24,2.1,5.1,41.8,0.4,1.7,24.4,0.6,1.0,60.0,0.3,1.6,0,0.3045977011494253,8.2
228,77,2.2,4.8,46.0,0.9,2.2,40.1,0.7,0.9,71.2,0.9,2.3,0,0.2654867256637168,10.199999999999998
229,72,0.8,2.0,41.5,0.0,0.1,0.0,0.8,1.1,73.8,0.7,0.6,0,0.3424657534246575,4.199999999999999
230,49,1.0,2.6,36.4,0.0,0.2,22.2,0.6,1.0,66.0,0.2,0.4,1,0.35616438356164387,4.099999999999999
231,46,1.4,2.7,50.4,0.0,0.1,40.0,0.5,0.7,70.6,0.6,0.6,0,0.4852941176470588,4.5
232,43,0.7,1.9,34.9,0.0,0.2,11.1,0.2,0.4,56.3,0.3,0.3,1,0.23529411764705885,4.1
233,35,0.7,2.1,31.9,0.1,0.3,20.0,0.5,0.6,77.3,0.3,0.3,0,0.31666666666666665,3.3
234,51,0.7,1.5,47.4,0.0,0.0,0.0,0.7,0.9,78.3,0.4,1.0,1,0.3859649122807018,3.5
235,41,0.9,2.0,42.2,0.0,0.0,0.0,0.7,1.1,68.2,0.5,0.5,1,0.4285714285714286,3.6000000000000005
236,82,5.3,12.4,43.2,0.4,1.5,25.4,2.5,3.2,77.4,1.5,3.4,1,0.3434343434343434,28.5
237,61,5.4,11.4,47.7,0.2,0.6,30.8,2.7,3.3,81.9,0.7,1.6,1,0.38764044943820225,21.800000000000004
238,58,2.9,6.7,43.7,0.3,1.1,29.0,1.0,1.6,65.6,0.6,2.0,0,0.3185840707964602,12.9
239,55,6.2,13.1,47.5,0.0,0.0,0.0,2.4,3.5,67.9,2.4,5.5,1,0.4498480243161095,23.400000000000006
240,67,5.1,11.6,43.9,0.2,0.6,33.3,2.1,2.3,87.9,1.0,2.4,1,0.3911671924290221,21.500000000000004
241,42,3.2,8.0,40.7,0.1,0.4,20.0,1.1,1.3,83.3,1.2,3.2,1,0.28044280442804426,13.899999999999999
242,35,4.3,12.2,35.6,0.4,1.7,22.4,1.4,1.9,72.7,1.6,1.8,1,0.4244897959183674,15.100000000000001
243,35,4.3,12.2,35.6,0.4,1.7,22.4,1.4,1.9,72.7,1.6,1.8,1,0.4244897959183674,15.100000000000001
244,82,4.6,9.2,50.1,0.0,0.1,20.0,2.4,4.0,60.4,2.0,4.3,1,0.4834710743801653,19.5
245,80,3.4,7.5,46.1,0.1,0.3,20.8,2.2,2.6,83.9,0.5,1.9,1,0.3833333333333333,16.900000000000002
246,81,3.1,6.3,50.1,0.0,0.0,0.0,1.4,2.2,62.6,1.9,3.6,1,0.3407079646017699,14.499999999999998
247,82,3.7,7.6,48.8,0.7,2.1,35.5,1.8,2.3,80.1,1.2,1.2,1,0.44642857142857145,13.6
248,61,3.6,9.0,40.4,0.2,0.7,26.7,2.1,2.9,74.0,1.0,1.3,1,0.4285714285714286,13.2
249,66,3.7,7.6,48.2,0.0,0.2,0.0,1.3,2.6,51.2,1.5,2.5,1,0.39631336405529954,13.399999999999999
250,59,2.7,6.3,42.3,0.8,2.4,33.8,1.9,2.3,81.5,0.7,3.0,0,0.3603603603603604,13.799999999999999
251,79,3.3,7.1,46.3,0.1,0.3,17.4,1.3,2.2,57.6,1.5,2.3,1,0.3779904306220096,13.899999999999999
252,82,3.1,6.3,49.1,0.1,0.4,36.7,2.1,2.7,77.2,1.4,2.6,1,0.40865384615384615,14.100000000000001
253,79,2.1,5.4,39.0,0.0,0.2,18.8,0.7,0.9,78.4,0.4,1.3,1,0.24271844660194172,12.1
254,78,3.1,7.2,42.8,0.0,0.0,0.0,1.9,2.7,72.5,1.2,3.0,1,0.39512195121951216,13.3
255,24,1.8,4.6,39.1,0.4,1.1,38.5,1.2,1.7,72.5,0.1,1.0,0,0.29714285714285715,9.3
256,39,2.2,4.7,45.9,0.0,0.0,0.0,1.4,1.6,87.1,1.5,3.0,1,0.34545454545454546,10.5
257,75,2.1,4.8,43.0,0.0,0.0,0.0,1.4,2.0,70.7,0.7,2.2,0,0.3733333333333333,9.200000000000001
258,79,1.4,2.6,53.2,0.0,0.0,0.0,0.9,1.4,64.0,1.3,2.1,1,0.24657534246575344,7.500000000000001
259,58,1.1,2.9,37.4,0.1,0.4,24.0,0.4,0.6,71.9,0.3,0.7,0,0.20610687022900764,6.2
260,49,2.3,5.1,44.6,0.0,0.1,0.0,0.8,1.1,72.2,0.2,0.4,0,0.4453781512605042,6.5
261,70,1.7,3.5,49.6,0.0,0.2,23.1,0.7,0.9,80.6,0.7,1.3,1,0.4077669902912621,7.0
262,40,1.6,3.7,42.2,0.1,0.3,20.0,0.7,0.7,89.7,0.1,0.6,0,0.39999999999999997,5.6
263,55,1.2,2.5,47.4,0.0,0.0,0.0,0.7,1.3,56.3,1.3,1.3,1,0.3333333333333333,6.000000000000001
264,59,1.1,2.2,47.0,0.0,0.0,0.0,0.4,0.6,73.5,0.3,0.4,0,0.2873563218390805,4.6
265,44,1.0,2.5,40.4,0.0,0.2,0.0,0.4,0.5,81.0,0.1,0.5,0,0.2891566265060241,4.5
266,49,1.8,3.9,46.6,0.0,0.1,0.0,0.8,1.2,70.2,0.6,0.7,1,0.5421686746987951,6.3
267,44,0.5,1.2,38.5,0.0,0.0,0.0,0.2,0.4,44.4,0.5,1.3,0,0.14473684210526316,3.4
268,41,0.7,1.9,36.7,0.0,0.0,0.0,0.5,0.7,66.7,0.6,1.1,0,0.2878787878787879,3.899999999999999
269,36,0.5,1.3,37.5,0.1,0.2,28.6,0.2,0.4,61.5,0.1,0.3,1,0.20634920634920637,2.0000000000000004
270,45,2.5,6.7,37.7,0.5,1.3,37.3,0.7,1.0,74.4,0.4,1.4,0,0.31155778894472363,10.499999999999998
271,50,0.5,1.7,31.0,0.0,0.0,0.0,0.6,1.0,60.4,0.3,0.7,0,0.27419354838709675,3.0
272,82,9.0,19.7,45.5,0.2,1.1,21.3,4.7,6.9,68.4,2.1,2.7,1,0.6122994652406417,31.8
273,82,7.7,16.6,46.8,0.6,1.7,35.5,2.7,3.6,74.7,2.0,6.2,1,0.5222222222222223,29.400000000000006
274,80,5.4,11.2,48.5,0.0,0.0,0.0,3.7,5.0,74.5,2.8,5.1,1,0.4306784660766962,25.5
275,80,6.1,11.3,53.8,0.0,0.0,0.0,3.5,5.0,69.6,1.9,6.2,1,0.46587537091988124,25.9
276,71,2.0,4.2,47.5,0.0,0.1,0.0,1.2,2.0,61.7,1.4,3.2,1,0.19064748201438847,18.400000000000002
277,68,4.2,8.5,49.1,0.0,0.1,0.0,2.1,2.7,75.7,1.7,3.2,1,0.41106719367588934,16.799999999999997
278,63,6.5,12.2,53.1,0.0,0.0,0.0,3.0,4.6,64.9,2.2,2.7,0,0.6309523809523809,21.300000000000004
279,78,3.6,8.0,45.4,0.1,0.5,22.2,1.8,2.9,64.6,1.7,3.0,1,0.4052863436123348,16.699999999999996
280,80,2.3,5.8,39.6,0.7,2.3,31.9,0.6,0.8,77.0,0.5,1.5,0,0.297979797979798,9.299999999999999
281,80,3.5,7.6,45.5,0.0,0.1,20.0,1.6,2.2,72.8,1.9,2.7,1,0.3881278538812786,14.8
282,77,3.4,7.8,43.0,0.2,0.7,25.0,1.9,2.6,74.1,0.9,1.1,1,0.42105263157894746,12.600000000000001
283,81,4.1,9.4,43.7,0.2,0.6,29.8,1.9,2.4,80.1,0.7,1.4,1,0.4951923076923077,15.3
284,50,2.8,7.2,39.7,0.0,0.0,0.0,1.0,1.7,58.1,1.6,3.3,1,0.34183673469387754,12.100000000000001
285,80,2.0,4.4,45.4,0.2,0.5,27.9,1.2,1.5,77.7,0.5,1.8,1,0.2717948717948718,11.2
286,75,3.1,6.7,46.7,0.0,0.0,33.3,1.3,1.9,67.6,2.4,4.7,1,0.40106951871657753,15.799999999999999
287,67,2.6,6.3,40.8,0.3,1.0,32.9,1.4,1.7,83.3,0.5,1.3,1,0.37912087912087916,10.7
288,82,2.0,3.5,56.2,0.0,0.0,0.0,1.3,2.1,61.4,1.3,2.3,1,0.29775280898876405,10.7
289,64,3.4,6.9,49.0,0.0,0.1,22.2,1.0,1.6,66.3,1.1,2.2,1,0.45664739884393063,12.2
290,68,2.7,4.6,58.1,0.0,0.0,0.0,1.3,1.8,72.7,1.5,2.8,1,0.4370860927152318,10.9
291,77,2.8,5.1,54.5,0.0,0.0,0.0,1.0,1.6,58.7,2.1,2.2,1,0.43333333333333335,11.4
292,68,2.5,5.5,45.6,0.0,0.2,8.3,1.6,2.2,74.3,1.1,2.4,1,0.4459459459459459,10.9
293,77,1.9,4.0,47.6,0.0,0.0,0.0,1.4,2.2,63.2,1.1,2.4,1,0.36363636363636365,8.8
294,66,1.5,3.1,47.1,0.0,0.0,0.0,1.4,2.1,69.3,1.1,1.9,1,0.3098591549295775,8.200000000000001
295,67,2.0,4.7,42.3,0.1,0.4,25.0,0.5,0.7,72.9,1.0,1.6,0,0.338235294117647,9.0
296,65,2.0,4.2,47.6,0.0,0.0,0.0,1.4,2.1,68.7,1.2,2.3,1,0.4,8.600000000000003
297,65,2.0,5.0,41.3,0.1,0.3,35.0,0.8,1.0,76.9,0.6,1.0,0,0.3787878787878788,7.8999999999999995
298,62,1.7,3.2,52.7,0.0,0.0,0.0,0.7,1.2,63.9,1.1,2.3,1,0.31818181818181823,7.6
299,64,2.1,4.7,45.0,0.1,0.3,23.5,1.2,1.7,70.1,0.7,1.0,0,0.41984732824427484,8.1
300,59,2.4,4.4,54.4,0.0,0.0,0.0,0.8,1.3,64.9,1.2,1.7,1,0.4341085271317829,9.3
301,70,2.8,4.3,65.9,0.0,0.0,0.0,1.7,2.8,62.6,1.4,3.0,0,0.40659340659340665,13.100000000000001
302,62,2.4,5.3,44.1,0.3,0.8,32.0,0.8,1.0,79.7,0.7,1.0,1,0.5043478260869565,7.799999999999999
303,35,1.6,4.1,39.3,0.0,0.0,0.0,0.5,1.5,35.3,1.0,1.9,0,0.34545454545454546,6.5
304,42,1.4,3.6,38.0,0.1,0.2,33.3,0.5,0.7,75.0,0.3,0.5,0,0.3,5.099999999999999
305,59,1.9,4.7,41.1,0.0,0.4,4.5,1.1,1.3,86.8,0.6,0.6,1,0.4672897196261683,6.3
306,45,2.0,4.1,48.6,0.0,0.1,0.0,0.2,0.3,60.0,0.7,1.0,0,0.40384615384615385,6.5
307,67,2.1,4.9,42.6,0.3,0.9,28.3,0.4,0.6,78.9,0.4,0.7,1,0.5157894736842106,6.800000000000001
308,60,1.6,3.4,46.8,0.0,0.0,0.0,0.7,1.0,69.0,0.6,0.8,1,0.4367816091954023,6.0
309,41,1.2,2.9,42.7,0.0,0.0,0.0,0.7,0.9,75.0,0.6,0.7,0,0.37349397590361444,5.3
310,62,1.4,3.3,43.6,0.0,0.0,0.0,0.9,1.1,74.6,0.6,1.3,1,0.4625,5.6
311,43,1.2,3.1,37.8,0.1,0.3,20.0,1.0,1.5,63.6,0.3,0.7,0,0.5074626865671642,4.8
312,53,0.8,1.7,45.5,0.0,0.0,0.0,0.6,1.0,60.8,0.7,1.5,0,0.20792079207920794,4.7
313,54,0.9,2.5,33.8,0.2,0.8,31.0,0.3,0.5,63.0,0.1,0.5,0,0.3833333333333333,3.2
314,50,7.7,16.3,47.4,0.0,0.1,0.0,4.5,6.1,73.9,2.5,6.5,0,0.5649717514124294,30.800000000000004
315,82,7.0,14.3,49.0,0.0,0.1,20.0,3.0,4.4,68.7,3.7,4.2,1,0.5181818181818182,26.2
316,81,6.2,12.5,49.6,0.0,0.0,0.0,2.4,5.0,48.1,2.1,6.7,1,0.4869281045751634,25.1
317,81,6.4,12.4,51.5,0.0,0.0,0.0,2.0,2.9,68.4,2.4,4.9,1,0.5231316725978647,21.499999999999996
318,79,4.1,8.4,49.0,0.0,0.0,33.3,2.9,3.9,74.6,2.0,5.6,1,0.42045454545454547,21.3
319,55,5.2,11.3,46.3,0.1,0.5,18.5,3.4,3.8,89.6,0.8,1.3,1,0.5533596837944664,18.3
320,81,5.4,11.5,46.8,0.1,0.3,28.0,1.6,2.9,55.7,1.1,1.4,1,0.5,16.100000000000005
321,82,3.5,7.3,48.1,0.1,0.2,31.3,2.3,2.9,79.8,0.7,0.7,1,0.39330543933054396,14.700000000000001
322,82,2.1,4.9,42.6,0.0,0.0,0.0,1.8,2.4,73.0,1.4,2.9,0,0.3468208092485549,11.3
323,77,3.6,7.0,51.9,0.0,0.0,0.0,2.3,3.5,66.2,3.3,5.3,1,0.41739130434782606,18.899999999999995
324,82,3.2,6.3,50.7,0.0,0.0,0.0,1.9,3.1,60.7,2.1,3.6,1,0.4009661835748793,14.6
325,58,3.1,6.6,46.6,0.0,0.2,22.2,1.3,1.7,78.1,2.0,4.1,0,0.3592233009708738,14.499999999999998
326,80,3.2,5.7,55.8,0.0,0.0,0.0,2.1,3.2,67.3,1.2,2.7,1,0.425,13.0
327,82,2.5,4.7,53.9,0.0,0.1,16.7,1.2,2.0,61.1,2.0,2.7,1,0.3404255319148936,11.7
328,71,1.8,3.9,45.6,0.0,0.0,0.0,1.2,2.3,53.1,1.6,2.5,1,0.25268817204301075,8.700000000000001
329,64,3.2,6.7,46.9,0.0,0.1,0.0,1.4,2.2,64.7,1.7,2.6,1,0.4502923976608187,11.8
330,79,2.5,5.2,48.3,0.0,0.1,18.2,2.7,3.5,78.5,0.3,1.2,1,0.5,12.799999999999999
331,79,2.7,5.7,47.4,0.2,0.5,31.0,1.6,2.0,80.6,0.4,1.0,1,0.461038961038961,10.799999999999999
332,34,2.7,6.3,42.7,0.6,2.1,31.0,1.0,1.7,59.6,1.1,2.2,0,0.4093567251461988,10.600000000000001
333,71,2.0,4.4,45.7,0.3,0.9,31.1,0.6,1.0,61.1,0.3,1.6,0,0.296969696969697,9.3
334,78,1.8,3.9,47.2,0.0,0.1,9.1,1.0,1.6,61.9,1.2,1.9,0,0.31333333333333335,9.500000000000002
335,76,2.2,4.6,48.1,0.1,0.5,27.0,1.0,1.2,78.5,0.6,1.2,0,0.36912751677852346,10.2
336,80,2.0,4.3,46.5,0.0,0.0,0.0,1.2,1.6,72.3,1.4,3.3,1,0.35135135135135137,9.9
337,68,2.2,5.5,40.9,0.0,0.3,17.6,0.7,1.2,58.3,0.7,0.9,0,0.40944881889763785,7.4
338,64,1.8,3.3,52.8,0.0,0.0,0.0,0.6,1.3,43.5,1.4,2.4,0,0.3228346456692913,7.799999999999999
339,64,1.8,3.3,52.8,0.0,0.0,0.0,0.6,1.3,43.5,1.4,2.4,0,0.3228346456692913,7.799999999999999
340,53,1.3,2.1,60.4,0.0,0.0,0.0,0.3,0.8,42.5,0.9,1.9,0,0.25925925925925924,6.3
341,66,2.2,4.5,48.0,0.0,0.1,0.0,0.7,0.8,85.2,0.6,0.9,0,0.47619047619047616,6.799999999999999
342,77,1.7,4.4,38.4,0.7,2.3,32.0,0.4,0.5,75.6,0.2,1.4,0,0.28125,7.000000000000001
343,45,1.7,4.1,40.8,0.1,0.3,20.0,0.3,0.4,60.0,0.1,0.9,0,0.3557692307692308,5.9
344,45,1.5,4.0,38.3,0.0,0.2,11.1,0.4,0.8,51.4,0.3,0.4,0,0.3431372549019608,5.699999999999999
345,64,1.6,3.5,45.5,0.0,0.1,0.0,1.2,1.6,72.8,0.2,0.8,1,0.43,6.3
346,55,1.3,2.9,44.4,0.0,0.0,50.0,1.1,1.9,55.8,0.7,0.8,1,0.4021739130434783,7.0
347,57,1.8,4.1,44.2,0.0,0.1,20.0,0.9,0.9,92.6,0.4,0.6,1,0.5294117647058824,6.300000000000001
348,36,1.4,2.4,55.7,0.0,0.0,0.0,0.7,1.0,66.7,0.4,0.7,0,0.4473684210526316,4.5
349,57,1.0,2.8,36.4,0.0,0.1,25.0,1.1,1.2,92.9,0.2,0.6,1,0.4210526315789474,4.699999999999999
350,48,1.3,3.1,40.7,0.0,0.0,0.0,0.6,0.8,79.5,0.8,1.3,1,0.463768115942029,5.0
351,75,1.0,3.4,30.8,0.4,1.4,26.4,0.4,0.6,64.4,0.3,1.1,0,0.18543046357615894,7.199999999999998
352,82,10.2,19.8,51.5,0.1,0.6,17.3,7.7,9.1,84.5,2.0,4.5,1,0.7362924281984334,40.3
353,80,5.4,11.5,47.0,0.0,0.1,0.0,3.3,4.2,76.7,1.9,2.2,1,0.4533762057877813,20.000000000000004
354,76,3.9,7.3,53.7,0.0,0.0,0.0,2.1,3.0,71.1,2.7,5.9,1,0.3424657534246575,22.5
355,82,5.2,9.5,54.5,0.0,0.1,16.7,3.6,4.9,73.3,3.2,5.3,1,0.4895104895104895,24.2
356,82,4.2,9.0,47.1,0.1,0.4,25.0,2.4,3.0,82.0,2.3,5.1,1,0.38869257950530034,20.400000000000002
357,80,3.5,7.8,44.6,0.1,0.3,20.0,1.8,2.1,82.9,0.4,1.7,1,0.34108527131782945,14.600000000000003
358,79,4.6,9.0,51.1,0.0,0.0,0.0,1.4,1.8,78.4,2.0,3.8,1,0.4291497975708502,16.900000000000002
359,82,5.0,8.4,60.0,0.0,0.0,0.0,2.8,4.5,62.0,2.3,4.5,1,0.5470085470085471,19.599999999999998
360,82,3.9,8.4,46.7,0.0,0.1,22.2,1.5,2.2,65.7,2.2,4.2,1,0.42660550458715596,15.8
361,75,2.9,5.3,54.3,0.0,0.0,0.0,1.3,1.8,73.7,1.7,3.5,1,0.3302325581395349,12.9
362,79,3.8,7.6,49.8,0.1,0.1,36.4,1.6,2.1,73.4,1.5,1.9,1,0.43192488262910794,15.900000000000004
363,78,3.4,6.2,55.7,0.0,0.0,0.0,2.4,3.4,71.5,1.9,3.2,1,0.458128078817734,14.5
364,78,3.0,5.8,52.0,0.0,0.1,0.0,2.3,3.6,64.8,1.8,3.3,1,0.417910447761194,14.7
365,78,3.0,5.8,52.0,0.0,0.1,0.0,2.3,3.6,64.8,1.8,3.3,0,0.417910447761194,14.7
366,78,3.0,5.8,52.0,0.0,0.1,0.0,2.3,3.6,64.8,1.8,3.3,0,0.417910447761194,14.7
367,29,1.3,4.2,31.7,0.7,2.1,31.1,0.4,0.8,50.0,0.3,1.1,1,0.225609756097561,6.3
368,29,1.3,4.2,31.7,0.7,2.1,31.1,0.4,0.8,50.0,0.3,1.1,0,0.225609756097561,6.3
369,29,1.3,4.2,31.7,0.7,2.1,31.1,0.4,0.8,50.0,0.3,1.1,0,0.225609756097561,6.3
370,72,2.4,5.2,45.4,0.0,0.0,0.0,1.1,1.3,85.9,1.2,1.8,1,0.29292929292929293,9.5
371,82,2.6,5.7,46.0,0.0,0.1,0.0,1.4,2.1,67.8,1.8,1.7,1,0.34196891191709844,11.399999999999999
372,62,3.2,6.0,52.8,0.0,0.1,33.3,1.6,2.1,78.9,1.3,2.5,1,0.41450777202072536,13.100000000000001
373,78,2.8,6.1,45.3,0.3,0.9,35.1,1.3,1.7,75.4,0.5,1.4,1,0.37967914438502676,11.799999999999999
374,75,2.8,5.9,47.0,0.0,0.0,0.0,1.2,2.6,47.4,1.4,3.0,1,0.36363636363636365,10.799999999999999
375,82,1.9,4.1,47.1,0.0,0.1,18.2,1.7,2.4,73.6,0.3,1.0,1,0.3076923076923077,11.6
376,74,2.8,6.2,45.9,0.1,0.3,16.0,1.4,1.7,81.0,0.5,1.0,0,0.4104046242774566,9.999999999999998
377,74,1.8,3.9,46.0,0.0,0.2,18.8,0.7,1.0,71.1,0.5,1.3,0,0.25882352941176473,8.999999999999998
378,54,2.1,4.3,49.8,0.0,0.0,0.0,1.2,2.3,54.1,1.6,3.3,1,0.3235294117647059,10.200000000000003
379,74,2.2,4.6,47.8,0.0,0.0,0.0,0.7,1.0,73.3,1.2,2.5,0,0.33774834437086093,8.599999999999998
380,36,2.3,5.4,43.1,0.0,0.1,50.0,1.1,1.4,82.0,1.1,1.4,1,0.40277777777777773,8.7
381,78,1.9,3.9,49.2,0.0,0.1,0.0,1.1,1.6,66.9,1.0,2.4,1,0.34265734265734266,8.799999999999999
382,67,1.6,2.7,58.9,0.0,0.0,0.0,0.5,1.2,39.8,1.0,2.6,0,0.2781954887218045,8.500000000000002
383,59,1.9,4.6,41.6,0.0,0.1,0.0,1.2,1.7,70.6,0.8,1.3,0,0.39843749999999994,7.8
384,77,2.3,4.8,47.8,0.0,0.0,0.0,1.5,2.4,64.6,1.2,1.4,1,0.4919354838709677,9.700000000000001
385,53,0.5,1.6,32.6,0.0,0.0,0.0,0.4,0.7,56.4,1.0,2.1,0,0.12195121951219512,5.2
386,60,1.2,2.4,48.6,0.0,0.0,0.0,0.8,1.1,75.8,0.7,1.7,1,0.2689075630252101,5.7
387,56,2.3,4.7,49.6,0.0,0.0,0.0,1.0,1.3,80.0,0.7,0.9,1,0.5,6.999999999999999
388,63,1.7,4.6,38.3,0.0,0.1,22.2,0.6,0.8,75.5,0.4,0.6,0,0.3796296296296296,6.0
389,66,1.4,3.5,39.7,0.0,0.1,25.0,1.0,1.4,70.7,0.8,1.2,0,0.3584905660377358,5.800000000000001
390,51,1.6,3.7,44.0,0.0,0.0,0.0,0.5,0.7,75.0,0.8,0.8,0,0.3619047619047619,5.900000000000001
391,60,1.5,4.0,36.7,0.0,0.0,0.0,0.5,0.9,50.9,0.7,0.9,0,0.3695652173913044,5.2
392,59,1.3,3.6,37.3,0.0,0.1,0.0,0.7,0.9,76.5,0.6,0.7,1,0.3626373626373626,5.6000000000000005
393,51,1.8,3.8,48.2,0.0,0.0,0.0,0.8,1.3,64.2,0.6,0.8,0,0.5,6.0
394,47,1.5,4.0,38.3,0.0,0.0,0.0,1.1,1.6,68.8,0.2,0.4,0,0.47191011235955055,5.1
395,38,1.3,3.5,37.3,0.1,0.8,13.3,0.5,0.7,69.2,0.1,0.4,1,0.45070422535211274,4.4
396,43,0.9,2.2,41.5,0.0,0.0,0.0,0.3,0.6,52.0,0.6,0.8,0,0.295774647887324,3.9999999999999996
397,39,0.5,1.3,41.2,0.0,0.0,0.0,0.3,0.5,50.0,0.5,1.5,0,0.18840579710144928,3.6
398,39,1.3,3.2,41.9,0.1,0.3,36.4,0.5,0.8,67.7,0.4,0.5,0,0.5499999999999999,4.3
399,38,0.7,1.8,38.8,0.0,0.1,0.0,0.4,0.4,88.2,0.2,0.3,1,0.3829787234042553,2.6999999999999997
400,82,8.7,16.7,52.3,0.0,0.0,25.0,3.5,5.3,66.1,3.6,7.6,1,0.6402439024390244,33.699999999999996
401,81,4.8,10.1,48.0,0.0,0.2,18.8,2.3,3.0,75.3,1.4,5.5,1,0.4,20.7
402,80,3.3,7.0,46.9,0.0,0.0,0.0,1.8,2.5,73.0,0.8,1.7,1,0.3111111111111111,17.500000000000004
403,79,4.2,8.5,49.9,0.0,0.1,25.0,2.3,3.2,73.1,2.2,3.5,1,0.41064638783269963,18.599999999999998
404,52,1.5,4.3,35.6,0.3,1.0,24.5,0.8,1.3,63.8,0.9,2.0,1,0.328125,7.1
405,82,4.9,10.9,44.8,0.1,0.4,24.1,2.6,3.5,74.2,1.7,2.3,1,0.4787644787644788,18.400000000000002
406,81,3.7,7.3,51.2,0.0,0.0,0.0,1.1,1.4,75.2,1.4,4.3,1,0.34274193548387094,16.499999999999996
407,81,5.0,11.3,44.4,0.3,0.9,32.4,1.8,2.1,82.6,0.7,1.2,1,0.4959016393442623,14.999999999999998
408,81,3.1,6.7,46.2,0.0,0.1,16.7,3.1,4.0,78.5,0.9,1.8,1,0.38912133891213396,15.799999999999999
409,80,2.3,4.6,49.6,0.0,0.0,0.0,0.9,1.5,59.0,2.2,4.1,1,0.23706896551724138,13.4
410,74,4.5,9.3,48.4,0.1,0.5,23.5,1.5,1.9,80.6,0.7,1.5,1,0.4796380090497737,15.000000000000002
411,82,3.8,8.1,46.7,0.1,0.5,23.1,1.4,1.8,77.2,1.5,2.3,0,0.42654028436018954,14.700000000000001
412,82,2.4,5.5,44.3,0.0,0.3,11.5,0.8,1.2,67.3,0.6,1.5,1,0.27272727272727276,10.8
413,79,2.7,5.1,53.6,0.0,0.1,25.0,1.8,2.2,83.7,1.3,2.6,1,0.37628865979381443,12.199999999999998
414,80,3.3,7.3,44.8,0.3,1.1,26.2,1.5,1.9,78.7,0.5,1.0,0,0.4662921348314607,11.399999999999999
415,31,1.2,2.7,45.8,0.0,0.0,0.0,0.7,1.0,65.6,1.2,2.9,0,0.24603174603174605,7.699999999999999
416,73,3.0,6.7,44.5,0.1,0.5,24.3,0.9,1.0,88.9,0.3,0.9,1,0.39204545454545453,10.7
417,82,3.1,6.8,45.1,0.0,0.0,25.0,1.5,2.1,72.8,1.4,1.5,1,0.4476744186046512,12.600000000000001
418,72,2.6,5.6,46.4,0.0,0.2,9.1,1.1,1.5,72.7,0.8,1.3,0,0.3727810650887574,10.100000000000001
419,82,2.6,6.3,41.7,0.0,0.2,26.7,2.5,3.2,79.1,0.9,1.1,1,0.4906832298136646,12.799999999999999
420,78,1.4,3.3,41.3,0.0,0.2,11.1,1.4,1.8,77.7,0.4,1.2,0,0.2641509433962264,9.1
421,67,3.4,7.4,45.6,0.2,0.4,41.4,1.3,1.8,71.9,1.6,2.1,1,0.5189873417721518,12.2
422,75,2.4,5.4,44.1,0.0,0.1,0.0,1.3,1.8,71.4,1.2,1.3,1,0.3885350318471337,10.299999999999997
423,78,2.1,4.1,50.3,0.0,0.1,40.0,0.4,0.6,60.9,0.2,0.7,1,0.3284671532846716,6.1000000000000005
424,49,2.0,4.7,43.9,0.0,0.0,0.0,1.1,1.6,71.4,1.2,2.4,1,0.3823529411764706,8.800000000000002
425,78,1.6,3.1,51.7,0.0,0.0,0.0,0.4,0.7,60.8,0.8,2.1,1,0.2706766917293233,7.8999999999999995
426,38,1.9,4.7,41.6,0.8,2.1,37.5,0.6,0.9,67.6,0.2,1.1,0,0.424,6.8999999999999995
427,55,2.6,5.7,45.9,0.1,0.3,26.3,0.9,1.1,77.0,0.7,0.9,0,0.496,8.700000000000001
428,40,2.7,5.4,50.9,0.0,0.1,0.0,1.0,1.2,85.1,0.5,0.6,0,0.5555555555555556,8.6
